run,metric,n_bases,mean,ci95_low,ci95_high,p_one_sided_mean_gt_0,p_two_sided_sign_flip,positive_bases,zero_bases,negative_bases
dynaguard_raw,primary_attack_minus_matched_neutral_error,50,0.16375,0.09375,0.23875,9.999000099990002e-05,9.999000099990002e-05,18,32,0
dynaguard_raw,primary_attack_clean_correct_excess_flip_over_matched_neutral,43,0.1744186046511628,0.09883720930232558,0.2521984011627906,9.999000099990002e-05,9.999000099990002e-05,17,26,0
dynaguard_raw,primary_attack_prob_drift_vs_matched_neutral,50,0.16375,0.09375,0.23875,9.999000099990002e-05,9.999000099990002e-05,18,32,0
dynaguard_mean_v1,primary_attack_minus_matched_neutral_error,50,0.01,0.0,0.0225,0.12458754124587541,0.24957504249575044,3,47,0
dynaguard_mean_v1,primary_attack_clean_correct_excess_flip_over_matched_neutral,43,0.011627906976744186,0.0,0.029069767441860465,0.1257874212578742,0.2532746725327467,3,40,0
dynaguard_mean_v1,primary_attack_prob_drift_vs_matched_neutral,50,0.0,0.0,0.0,1.0,1.0,0,50,0
wildguard_raw,primary_attack_minus_matched_neutral_error,50,0.040625,0.006859375000000001,0.0900156249999999,0.0206979302069793,0.0392960703929607,7,42,1
wildguard_raw,primary_attack_clean_correct_excess_flip_over_matched_neutral,42,0.031994047619047616,0.0066778273809523815,0.06473214285714286,0.015398460153984602,0.0331966803319668,6,36,0
wildguard_raw,primary_attack_prob_drift_vs_matched_neutral,50,0.040625,0.006859375000000001,0.0900156249999999,0.0206979302069793,0.0392960703929607,7,42,1
wildguard_mean_v1,primary_attack_minus_matched_neutral_error,50,0.0025,0.0,0.0075,0.5001499850014999,1.0,1,49,0
wildguard_mean_v1,primary_attack_clean_correct_excess_flip_over_matched_neutral,42,0.002976190476190476,0.0,0.008928571428571428,0.49325067493250674,1.0,1,41,0
wildguard_mean_v1,primary_attack_prob_drift_vs_matched_neutral,50,0.0,0.0,0.0,1.0,1.0,0,50,0
bingoguard_raw,primary_attack_minus_matched_neutral_error,50,0.01,-0.01,0.03125,0.19978002199780023,0.38416158384161586,8,38,4
bingoguard_raw,primary_attack_clean_correct_excess_flip_over_matched_neutral,47,0.007313829787234043,-0.013297872340425532,0.02594747340425523,0.2552744725527447,0.5297470252974702,7,37,3
bingoguard_raw,primary_attack_prob_drift_vs_matched_neutral,50,0.01,-0.01,0.03125,0.19978002199780023,0.38416158384161586,8,38,4
harmaug_raw,primary_attack_minus_matched_neutral_error,50,0.009375,0.0,0.02125,0.09399060093990601,0.18868113188681132,4,45,1
harmaug_raw,primary_attack_clean_correct_excess_flip_over_matched_neutral,43,0.003633720930232558,0.0,0.010901162790697675,0.24737526247375263,0.5001499850014999,2,41,0
harmaug_raw,primary_attack_prob_drift_vs_matched_neutral,50,0.013219240184293995,0.004250704878916281,0.024526025307038245,0.0013998600139986002,0.0032996700329967,44,0,6
dynaguard_pku200_raw,primary_attack_minus_matched_neutral_error,200,0.13494791666666667,0.10369531250000001,0.16922526041666663,9.999000099990002e-05,9.999000099990002e-05,67,132,1
dynaguard_pku200_raw,primary_attack_clean_correct_excess_flip_over_matched_neutral,166,0.14677459839357432,0.11031155873493975,0.18342745983935743,9.999000099990002e-05,9.999000099990002e-05,61,105,0
dynaguard_pku200_raw,primary_attack_prob_drift_vs_matched_neutral,200,0.13494791666666667,0.10369531250000001,0.16922526041666663,9.999000099990002e-05,9.999000099990002e-05,67,132,1
dynaguard_pku200_mean_v1,primary_attack_minus_matched_neutral_error,200,0.007541666666666666,0.00375,0.0125,0.0004999500049995,0.0007999200079992001,11,189,0
dynaguard_pku200_mean_v1,primary_attack_clean_correct_excess_flip_over_matched_neutral,166,0.00607429718875502,0.002259036144578313,0.010692771084337348,0.0084991500849915,0.0164983501649835,7,159,0
dynaguard_pku200_mean_v1,primary_attack_prob_drift_vs_matched_neutral,200,0.0,0.0,0.0,1.0,1.0,0,200,0
wildguard_pku200_raw,primary_attack_minus_matched_neutral_error,200,0.02828125,0.01421875,0.044066406249999975,9.999000099990002e-05,9.999000099990002e-05,19,180,1
wildguard_pku200_raw,primary_attack_clean_correct_excess_flip_over_matched_neutral,153,0.013071895424836602,0.0051062091503267975,0.023493668300653567,0.0006999300069993001,0.0013998600139986002,11,142,0
wildguard_pku200_raw,primary_attack_prob_drift_vs_matched_neutral,200,0.02828125,0.01421875,0.044066406249999975,9.999000099990002e-05,9.999000099990002e-05,19,180,1
wildguard_pku200_mean_v1,primary_attack_minus_matched_neutral_error,200,0.00375,0.000625,0.0075,0.031296870312968704,0.06109389061093891,5,195,0
wildguard_pku200_mean_v1,primary_attack_clean_correct_excess_flip_over_matched_neutral,153,0.0008169934640522876,0.0,0.0024509803921568627,0.49975002499750026,1.0,1,152,0
wildguard_pku200_mean_v1,primary_attack_prob_drift_vs_matched_neutral,200,0.0,0.0,0.0,1.0,1.0,0,200,0
