variant,projection_scope,records,bases,primary_attacks,missing_primary_matched_neutral_rate,overall_f1,attack_f1,primary_gap_mean,primary_gap_ci95_low,primary_gap_ci95_high,primary_gap_p_mean_gt_0,clean_correct_flip_gap_mean,clean_correct_flip_gap_p_mean_gt_0,adverse_prob_drift_mean,adverse_prob_drift_p_mean_gt_0,primary_attenuation_mean,primary_attenuation_p_mean_gt_0,paired_bases,dropped_primary_attack_pairs
raw,no_projection,2150,50,1600,0.0,0.8911149825783972,0.887719298245614,0.01,-0.01,0.03125,0.19978002199780023,0.007313829787234043,0.2552744725527447,0.01,0.19978002199780023,,,,
matched_mean,same_base_same_split_same_layout_same_format,2150,50,1600,0.0,0.891961970613656,0.8888888888888888,0.01,0.0,0.025,0.25277472252774724,0.005319148936170213,0.4948505149485051,0.0,1.0,0.0,0.5267473252674733,50,0
matched_first,same_base_same_split_same_layout_same_format_first_control,2150,50,1600,0.0,0.8950563746747615,0.8930232558139535,0.005,0.0,0.015,0.5014498550144986,0.0,1.0,0.005,0.5014498550144986,0.005,0.3320667933206679,50,0
matched_median,same_base_same_split_same_layout_same_format_median,2150,50,1600,0.0,0.891961970613656,0.8888888888888888,0.01,0.0,0.025,0.25277472252774724,0.005319148936170213,0.4948505149485051,0.0,1.0,0.0,0.5267473252674733,50,0
matched_trimmed_mean_10pct,same_base_same_split_same_layout_same_format_trimmed_mean,2150,50,1600,0.0,0.891961970613656,0.8888888888888888,0.01,0.0,0.025,0.25277472252774724,0.005319148936170213,0.4948505149485051,0.0,1.0,0.0,0.5267473252674733,50,0
matched_majority,same_base_same_split_same_layout_same_format_majority_vote,2150,50,1600,0.0,0.891961970613656,0.8888888888888888,0.01,0.0,0.025,0.25277472252774724,0.005319148936170213,0.4948505149485051,0.0,1.0,0.0,0.5267473252674733,50,0
clean_carry_forward,same_base_clean_prediction,2150,50,1600,0.0,0.9305680793507665,0.9411764705882353,-0.05,-0.115,0.0,0.9675032496750325,-0.05851063829787234,1.0,-0.05,0.9675032496750325,0.06,0.0026997300269973002,50,0
base_neutral_mean,same_base_same_split_all_neutrals,2150,50,1600,0.0,0.891961970613656,0.8888888888888888,0.01,-0.01,0.035,0.3738626137386261,0.005319148936170213,0.4948505149485051,1.1102230246251566e-18,0.6320367963203679,0.0,0.5217478252174782,50,0
global_neutral_mean,same_split_all_neutrals_all_bases,2150,50,1600,0.0,0.7126590756865372,0.6666666666666666,0.39,0.25,0.5301249999999993,9.999000099990002e-05,0.4308510638297872,9.999000099990002e-05,0.39,9.999000099990002e-05,-0.38,1.0,50,0
same_cell_other_base_mean,same_split_same_layout_same_format_other_bases,2150,50,1600,0.0,0.7126590756865372,0.6666666666666666,0.39,0.25,0.5301249999999993,9.999000099990002e-05,0.4308510638297872,9.999000099990002e-05,0.39795918367346944,9.999000099990002e-05,-0.38,1.0,50,0
wrong_layout_same_base_mean,same_base_same_split_different_layout_or_format,2150,50,1600,0.0,0.891961970613656,0.8888888888888888,0.01,-0.01,0.035,0.3738626137386261,0.005319148936170213,0.4948505149485051,0.0,0.6320367963203679,0.0,0.5217478252174782,50,0
