variant,projection_scope,records,bases,primary_attacks,missing_primary_matched_neutral_rate,overall_f1,attack_f1,primary_gap_mean,primary_gap_ci95_low,primary_gap_ci95_high,primary_gap_p_mean_gt_0,clean_correct_flip_gap_mean,clean_correct_flip_gap_p_mean_gt_0,adverse_prob_drift_mean,adverse_prob_drift_p_mean_gt_0,primary_attenuation_mean,primary_attenuation_p_mean_gt_0,paired_bases,dropped_primary_attack_pairs
raw,no_projection,2150,50,1600,0.0,0.7835276967930029,0.7582938388625592,0.16375,0.09375,0.23875,9.999000099990002e-05,0.1744186046511628,9.999000099990002e-05,0.16375,9.999000099990002e-05,,,,
matched_mean,same_base_same_split_same_layout_same_format,2150,50,1600,0.0,0.8606885508406725,0.8583690987124464,0.01,0.0,0.0225,0.12458754124587541,0.011627906976744186,0.1257874212578742,0.0,1.0,0.15375,9.999000099990002e-05,50,0
matched_first,same_base_same_split_same_layout_same_format_first_control,2150,50,1600,0.0,0.8662369057211926,0.8658008658008658,0.0,-0.0075,0.0075,0.76002399760024,0.0,0.7461253874612539,0.0,0.76002399760024,0.16375,9.999000099990002e-05,50,0
matched_median,same_base_same_split_same_layout_same_format_median,2150,50,1600,0.0,0.8606885508406725,0.8583690987124464,0.01,0.0,0.0225,0.12458754124587541,0.011627906976744186,0.1257874212578742,0.0,1.0,0.15375,9.999000099990002e-05,50,0
matched_trimmed_mean_10pct,same_base_same_split_same_layout_same_format_trimmed_mean,2150,50,1600,0.0,0.8606885508406725,0.8583690987124464,0.01,0.0,0.0225,0.12458754124587541,0.011627906976744186,0.1257874212578742,0.0,1.0,0.15375,9.999000099990002e-05,50,0
matched_majority,same_base_same_split_same_layout_same_format_majority_vote,2150,50,1600,0.0,0.8606885508406725,0.8583690987124464,0.01,0.0,0.0225,0.12458754124587541,0.011627906976744186,0.1257874212578742,0.0,1.0,0.15375,9.999000099990002e-05,50,0
clean_carry_forward,same_base_clean_prediction,2150,50,1600,0.0,0.8746948738812043,0.8771929824561403,-0.015,-0.0675,0.0375,0.7541245875412459,-0.040697674418604654,1.0,-0.015,0.7541245875412459,0.17875,0.00039996000399960006,50,0
base_neutral_mean,same_base_same_split_all_neutrals,2150,50,1600,0.0,0.8746948738812043,0.8771929824561403,-0.015,-0.04,0.005062499999999659,0.9396060393960604,-0.01744186046511628,0.9422057794220577,-0.0009999999999999987,0.7461253874612539,0.17875,9.999000099990002e-05,50,0
global_neutral_mean,same_split_all_neutrals_all_bases,2150,50,1600,0.0,0.7086354647330257,0.6666666666666666,0.345,0.2125,0.4725,9.999000099990002e-05,0.37790697674418605,9.999000099990002e-05,0.345,9.999000099990002e-05,-0.18125,1.0,50,0
same_cell_other_base_mean,same_split_same_layout_same_format_other_bases,2150,50,1600,0.0,0.7086354647330257,0.6666666666666666,0.345,0.2125,0.4725,9.999000099990002e-05,0.37790697674418605,9.999000099990002e-05,0.3520408163265307,9.999000099990002e-05,-0.18125,1.0,50,0
wrong_layout_same_base_mean,same_base_same_split_different_layout_or_format,2150,50,1600,0.0,0.8690379951495554,0.8695652173913043,-0.005,-0.0275,0.015,0.7461253874612539,-0.005813953488372093,0.7473252674732527,-0.00125,0.7461253874612539,0.16875,9.999000099990002e-05,50,0
