variant,projection_scope,records,bases,primary_attacks,missing_primary_matched_neutral_rate,overall_f1,attack_f1,primary_gap_mean,primary_gap_ci95_low,primary_gap_ci95_high,primary_gap_p_mean_gt_0,clean_correct_flip_gap_mean,clean_correct_flip_gap_p_mean_gt_0,adverse_prob_drift_mean,adverse_prob_drift_p_mean_gt_0,primary_attenuation_mean,primary_attenuation_p_mean_gt_0,paired_bases,dropped_primary_attack_pairs
raw,no_projection,2150,50,1600,0.0,0.8647619047619047,0.8624440179142674,0.009375,0.0,0.02125,0.09399060093990601,0.003633720930232558,0.24737526247375263,0.013219240184293995,0.0013998600139986002,,,,
matched_mean,same_base_same_split_same_layout_same_format,2150,50,1600,0.0,0.8684085510688836,0.8673469387755102,0.005,0.0,0.015,0.5022497750224978,0.0,1.0,0.0,1.0,0.004375,0.25247475252474755,50,0
matched_first,same_base_same_split_same_layout_same_format_first_control,2150,50,1600,0.0,0.8726928537624231,0.8730964467005076,0.0,-0.015,0.015,0.7498250174982501,0.0,1.0,-0.003379370877983092,0.811018898110189,0.009375,0.25247475252474755,50,0
matched_median,same_base_same_split_same_layout_same_format_median,2150,50,1600,0.0,0.8684085510688836,0.8673469387755102,0.005,0.0,0.015,0.5022497750224978,0.0,1.0,0.0,1.0,0.004375,0.25247475252474755,50,0
matched_trimmed_mean_10pct,same_base_same_split_same_layout_same_format_trimmed_mean,2150,50,1600,0.0,0.8684085510688836,0.8673469387755102,0.005,0.0,0.015,0.5022497750224978,0.0,1.0,0.0,1.0,0.004375,0.25247475252474755,50,0
matched_majority,same_base_same_split_same_layout_same_format_majority_vote,2150,50,1600,0.0,0.8726928537624231,0.8730964467005076,0.0,-0.015,0.015,0.7498250174982501,0.0,1.0,0.000992050293380089,0.43785621437856215,0.009375,0.25247475252474755,50,0
clean_carry_forward,same_base_clean_prediction,2150,50,1600,0.0,0.8608076009501188,0.8571428571428571,0.015,0.0,0.04,0.25437456254374563,0.0,1.0,0.005139470129352048,0.27387261273872615,-0.005625,0.7170282971702829,50,0
base_neutral_mean,same_base_same_split_all_neutrals,2150,50,1600,0.0,0.874095513748191,0.875,-0.005,-0.03,0.015,0.7521247875212479,0.0,1.0,-0.0015872589520749914,0.9943005699430058,0.014375,0.21777822217778223,50,0
global_neutral_mean,same_split_all_neutrals_all_bases,2150,50,1600,0.0,0.350037397157816,0.0,0.375,0.22,0.5301249999999993,9.999000099990002e-05,0.4883720930232558,9.999000099990002e-05,0.3759920502933802,9.999000099990002e-05,-0.365625,1.0,50,0
same_cell_other_base_mean,same_split_same_layout_same_format_other_bases,2150,50,1600,0.0,0.29257875066737854,0.059880239520958084,0.66,0.51,0.785,9.999000099990002e-05,0.8488372093023255,9.999000099990002e-05,0.3836653574422245,9.999000099990002e-05,-0.650625,1.0,50,0
wrong_layout_same_base_mean,same_base_same_split_different_layout_or_format,2150,50,1600,0.0,0.8707352234502643,0.8704663212435233,0.0,-0.015,0.015,0.7521247875212479,0.0,1.0,-0.001984073690093737,0.9943005699430058,0.009375,0.21777822217778223,50,0
