variant,projection_scope,records,bases,primary_attacks,missing_primary_matched_neutral_rate,overall_f1,attack_f1,primary_gap_mean,primary_gap_ci95_low,primary_gap_ci95_high,primary_gap_p_mean_gt_0,clean_correct_flip_gap_mean,clean_correct_flip_gap_p_mean_gt_0,adverse_prob_drift_mean,adverse_prob_drift_p_mean_gt_0,primary_attenuation_mean,primary_attenuation_p_mean_gt_0,paired_bases,dropped_primary_attack_pairs
raw,no_projection,2150,50,1600,0.0,0.8388185654008439,0.8311833987661245,0.040625,0.006859375000000001,0.0900156249999999,0.0206979302069793,0.031994047619047616,0.015398460153984602,0.040625,0.0206979302069793,,,,
matched_mean,same_base_same_split_same_layout_same_format,2150,50,1600,0.0,0.8603740756850805,0.8598130841121495,0.0025,0.0,0.0075,0.5001499850014999,0.002976190476190476,0.49325067493250674,0.0,1.0,0.038125,0.019998000199980003,50,0
matched_first,same_base_same_split_same_layout_same_format_first_control,2150,50,1600,0.0,0.8603740756850805,0.8598130841121495,0.0025,0.0,0.0075,0.5001499850014999,0.002976190476190476,0.49325067493250674,0.0025,0.5001499850014999,0.038125,0.019998000199980003,50,0
matched_median,same_base_same_split_same_layout_same_format_median,2150,50,1600,0.0,0.8603740756850805,0.8598130841121495,0.0025,0.0,0.0075,0.5001499850014999,0.002976190476190476,0.49325067493250674,0.0,1.0,0.038125,0.019998000199980003,50,0
matched_trimmed_mean_10pct,same_base_same_split_same_layout_same_format_trimmed_mean,2150,50,1600,0.0,0.8603740756850805,0.8598130841121495,0.0025,0.0,0.0075,0.5001499850014999,0.002976190476190476,0.49325067493250674,0.0,1.0,0.038125,0.019998000199980003,50,0
matched_majority,same_base_same_split_same_layout_same_format_majority_vote,2150,50,1600,0.0,0.8603740756850805,0.8598130841121495,0.0025,0.0,0.0075,0.5001499850014999,0.002976190476190476,0.49325067493250674,0.0,1.0,0.038125,0.019998000199980003,50,0
clean_carry_forward,same_base_clean_prediction,2150,50,1600,0.0,0.854427645788337,0.8518518518518519,0.0125,-0.0225,0.06,0.5022497750224978,-0.008928571428571428,1.0,0.0125,0.5022497750224978,0.028125,0.0761923807619238,50,0
base_neutral_mean,same_base_same_split_all_neutrals,2150,50,1600,0.0,0.8664038545773105,0.8679245283018868,-0.0075,-0.0225,0.0,1.0,-0.008928571428571428,1.0,-0.0015,1.0,0.048125,0.019998000199980003,50,0
global_neutral_mean,same_split_all_neutrals_all_bases,2150,50,1600,0.0,0.705055239370606,0.6666666666666666,0.3525,0.2,0.505,9.999000099990002e-05,0.44345238095238093,9.999000099990002e-05,0.3525000000000001,9.999000099990002e-05,-0.311875,1.0,50,0
same_cell_other_base_mean,same_split_same_layout_same_format_other_bases,2150,50,1600,0.0,0.705055239370606,0.6666666666666666,0.3525,0.2,0.505,9.999000099990002e-05,0.44345238095238093,9.999000099990002e-05,0.3596938775510204,9.999000099990002e-05,-0.311875,1.0,50,0
wrong_layout_same_base_mean,same_base_same_split_different_layout_or_format,2150,50,1600,0.0,0.8664038545773105,0.8679245283018868,-0.0075,-0.0225,0.0,1.0,-0.008928571428571428,1.0,-0.001875,1.0,0.048125,0.019998000199980003,50,0
